,date,1,2,3,4,5,6,7,8,>9,>7,semo,bar
0,20200207,2.5160230516507784,1.6449690740972134,1.5110853092153507,1.2505710420686134,1.1866702790571662,1.127950916256958,1.1129032258064515,1.0945135556199257,611,2117,11.871324079319765,11.871324079319765
1,20200210,2.8289066666666667,1.6354548268923175,1.4540565578532512,1.3989029695479478,1.2085661080074486,1.0904907975460127,1.0409291297743861,0.9863067567377779,637,1983,12.14638015546271,12.008852117391237
2,20200211,2.330987004950495,1.4207919566132587,1.4106746139257655,1.2530818583811296,1.2076901950013736,0.9962750728119394,0.9869646182495344,0.9794302475790866,543,2095,10.582254766077739,11.871324079319765
3,20200212,1.9204409522692627,1.2916710763043708,1.2569464649403552,1.2153892896125673,1.1277860326894502,1.1127306451836163,1.099234274731066,1.0959409594095941,562,2084,14.105722931723449,12.008852117391237
4,20200213,1.755879345603272,1.2147840497575548,1.2042878601665983,1.1825918414499523,1.114678899082569,0.9999980251672682,0.9962192816635163,0.9767177739920498,576,2020,12.401738227656846,12.14638015546271
5,20200214,1.3996706702828363,1.2731424295691007,1.1153892345014773,1.0889973958333332,1.0026480045394366,0.9865386341200755,0.9741809290953547,0.913886150466158,525,2157,12.070585701265506,12.108482928364108
6,20200217,1.3986339338744802,1.3119861690974965,1.1623963462036797,1.0408976455623913,1.0227057351882034,1.0134854553119732,1.0067144746349643,1.0000272383079563,674,1718,15.032025358399407,12.14638015546271
7,20200218,1.5903746173655313,1.1748381592813768,1.1714996904337718,1.162342952493129,1.1033931720816024,1.1014665219978301,1.0561230033684668,1.0539092932665555,667,1656,14.365523721053671,12.274059191559779
8,20200219,1.4722841586725433,1.4432269065108647,1.359687458614753,1.1170079493428697,1.1138783655011437,1.065553924220179,0.9903470756945936,0.9497339791947907,614,1657,12.48142455073264,12.401738227656846
9,20200220,1.8321818050506753,1.244670808544269,1.2095700599506287,1.1290322580645165,1.0950936635655015,1.0923513676939316,1.0257091620476033,1.0123759920634918,712,1203,14.354066902942941,12.441581389194743
10,20200221,1.7454216431415128,1.4754697056364678,1.3627906976744186,1.3415151483173813,1.181498252781918,1.1686916887646932,1.0789932971902987,1.0109521710675695,755,949,15.539674510207163,12.48142455073264
11,20200224,1.7340877298161472,1.7004830917874396,1.4020226117622654,1.395174371451744,1.3589206346996523,1.2439406606015901,1.2053947088577162,1.173109665894437,938,867,16.742557457886473,13.293573741228045
