,date,amount,上涨数,涨幅>2%,涨幅中位,涨幅均值,新高,新低,>MA20,index
0,20171229,3656.40049203,0.7153846153846154,0.7144615384615385,0.61,0.7651292307692307,3135,3135,0.9649230769230769,1000
1,20180102,4452.3372426,0.7742233159027991,0.771762534604737,0.74,1.0246016610273763,2519,706,0.7751461088895725,1006.8756461538462
2,20180103,5313.629165290001,0.7045105860693465,0.7032832157103406,0.62,0.8865173366063209,2163,445,0.783369131635471,1015.7593183421017
3,20180104,4961.04029126,0.408044212465459,0.408044212465459,-0.18,0.14653361989560942,1250,612,0.6763893153208475,1023.4106134566106
4,20180105,4987.39888339,0.4753143207605029,0.474394357559031,0.0,0.12595522845752838,1069,600,0.619441888991107,1023.2393642136465
5,20180108,5581.92155024,0.4488044144696505,0.4478847332924586,-0.13,0.19188228080931946,958,665,0.5643776824034334,1023.8837759530777
6,20180109,4821.85360617,0.4007352941176471,0.4007352941176471,-0.25,0.05235600490196078,650,571,0.5254289215686274,1024.2005772697757
7,20180110,5160.49563082,0.2343032159264931,0.23369065849923432,-1.15,-0.7944410413476265,378,1085,0.34701378254211335,1023.1884418004092
8,20180111,4770.0014065899995,0.6517747858017136,0.651468788249694,0.49,0.7254895960832313,486,290,0.44645042839657284,1013.240793804063
9,20180112,4610.608789049999,0.313953488372093,0.3136474908200734,-0.51,-0.4401621787025704,331,689,0.3785189718482252,1019.3987120200428
10,20180115,5853.512097379999,0.13932172318973418,0.13871066300030552,-2.86,-2.5875190956309195,202,1850,0.19003971891231286,1014.5557415141451
11,20180116,5349.82305249,0.6794871794871795,0.6794871794871795,0.575,0.8713034188034188,379,692,0.26495726495726496,986.9216826367436
12,20180117,6096.53218018,0.5278117359413202,0.5278117359413202,0.17,0.17509168704156475,315,585,0.3047066014669927,994.0586236551874
13,20180118,4845.30731943,0.46316111280953837,0.4616325282788138,0.0,0.22088963619688168,307,495,0.33170284316722715,995.7738304924643
14,20180119,5410.84806985,0.3796155019835215,0.3796155019835215,-0.28,-0.13808056148916692,259,546,0.31766859932865427,996.8736110882235
15,20180122,5168.73017895,0.6553516819571865,0.6553516819571865,0.515,0.5564495412844036,346,268,0.3779816513761468,994.789743692936
16,20180123,5211.24437133,0.4819682151589242,0.48105134474327627,0.0,0.24913814180929097,307,251,0.4125916870415648,1000.1190787657072
17,20180124,6004.572286719999,0.6456236657517536,0.6453186947240013,0.45,0.7547514486123817,409,139,0.4867337602927722,1001.3649178100658
18,20180125,5809.839113110001,0.39107852123434156,0.3904674610449129,-0.25,-0.1589184234647113,237,136,0.47204399633363886,1007.3968969866722
