,date,>100,80-100,60-80,50-60,40-50,30-40,20-30,all,bar,sump,w_sump
0,20200207,9,12,27,25,44,83,144,200,200.0,0.0,0.0
1,20200210,7,10,26,24,46,74,139,187,193.5,0.5,0.5
2,20200211,5,10,17,17,39,66,116,154,185.66666666666663,0.1666666666666666,0.3333333333333333
3,20200212,8,12,13,24,36,74,112,167,177.0,1.625,0.75
4,20200213,5,10,26,18,29,79,139,167,168.6,2.3,0.8
5,20200214,5,10,14,20,24,64,120,137,167.33333333333331,1.0833333333333337,0.5
6,20200217,8,7,24,25,26,79,160,169,167.34285714285716,3.428571428571429,0.8571428571428572
7,20200218,9,11,19,22,36,87,153,184,168.525,4.0625,0.875
8,20200219,6,9,19,21,31,77,135,163,167.55555555555554,2.166666666666667,0.5555555555555556
9,20200220,8,7,17,20,39,74,163,165,167.46,2.7,0.7
10,20200221,8,8,21,27,40,93,168,197,167.96363636363637,5.0,0.9090909090909092
11,20200224,10,5,42,28,50,112,199,247,170.01666666666668,5.5,0.9166666666666666
12,20200225,10,13,28,32,55,111,203,249,171.90769230769234,6.307692307692308,0.9230769230769232
13,20200226,9,7,14,20,53,71,160,174,173.7714285714286,2.571428571428572,0.5
14,20200227,6,9,13,16,34,64,175,142,171.2266666666667,1.5666666666666669,0.2666666666666667
15,20200228,8,9,9,16,23,57,144,122,169.70000000000002,0.8125,0.1875
16,20200302,14,9,37,61,98,218,455,437,173.56470588235297,5.970588235294119,0.8823529411764706
17,20200303,16,12,45,46,114,279,596,512,179.12222222222223,6.444444444444445,0.9444444444444444
18,20200304,13,13,35,36,98,231,542,426,183.40000000000003,6.052631578947367,0.8421052631578947
19,20200305,17,7,27,36,78,204,520,369,188.88,4.874999999999999,0.65
20,20200306,19,7,16,33,68,157,415,300,193.5619047619048,4.19047619047619,0.6190476190476191
21,20200309,10,12,13,16,41,75,249,167,188.9727272727273,2.840909090909091,0.5
22,20200310,12,9,20,19,55,130,338,245,193.1130434782609,3.934782608695652,0.5652173913043479
23,20200311,10,10,16,20,31,94,244,181,191.50833333333333,3.1041666666666665,0.5
24,20200312,10,7,24,19,33,92,225,185,192.368,2.9000000000000004,0.48
25,20200313,8,10,19,17,41,100,221,195,192.53076923076924,3.519230769230769,0.5769230769230769
26,20200316,7,4,13,8,20,41,96,93,191.1555555555556,0.0925925925925925,0.037037037037037
27,20200317,7,2,8,11,19,37,77,84,188.9857142857143,0.0357142857142857,0.0357142857142857
28,20200318,7,3,7,9,15,30,60,71,186.79310344827587,0.0689655172413792,0.0689655172413793
29,20200319,6,2,7,9,14,25,64,63,183.0133333333333,0.1166666666666668,0.1333333333333333
30,20200320,5,2,5,9,17,24,83,62,179.29032258064518,0.2580645161290323,0.1935483870967742
31,20200323,2,3,3,8,7,19,53,42,176.3,0.125,0.15625
32,20200324,2,2,2,4,8,24,48,42,173.36969696969695,0.1363636363636362,0.1818181818181817
33,20200325,3,4,1,6,9,31,70,54,171.76470588235296,0.6029411764705883,0.2941176470588235
34,20200326,3,2,2,6,7,21,70,41,170.13142857142856,0.3142857142857141,0.2571428571428571
