,date,>100,80-100,60-80,50-60,40-50,30-40,20-30,all,bar,sump,w_sump
0,20200207,9,12,27,25,44,83,144,344,344.0,0.0,0.0
1,20200210,7,10,26,24,46,74,139,326,335.0,0.5,0.5
2,20200211,5,10,17,17,39,66,116,270,323.4666666666667,0.1666666666666666,0.3333333333333333
3,20200212,8,12,13,24,36,74,112,279,302.95,1.625,0.75
4,20200213,5,10,26,18,29,79,139,306,305.8,2.4,0.8
5,20200214,5,10,14,20,24,64,120,257,293.4,1.0833333333333337,0.5
6,20200217,8,7,24,25,26,79,160,329,305.11428571428576,3.571428571428572,0.8571428571428572
7,20200218,9,11,19,22,36,87,153,337,314.0,4.1875,0.875
8,20200219,6,9,19,21,31,77,135,298,305.82222222222225,2.277777777777778,0.5555555555555556
9,20200220,8,7,17,20,39,74,163,328,314.28000000000003,3.0000000000000004,0.7
10,20200221,8,8,21,27,40,93,168,365,323.3272727272728,5.090909090909091,0.9090909090909092
11,20200224,10,5,42,28,50,112,198,445,326.33333333333337,5.5,0.9166666666666666
12,20200225,10,13,28,32,55,111,203,452,329.10769230769233,6.307692307692308,0.9230769230769232
13,20200226,9,7,14,20,53,71,160,334,329.51428571428573,2.6428571428571432,0.5
14,20200227,6,9,13,16,34,64,175,317,328.8933333333334,1.8333333333333333,0.3333333333333333
15,20200228,8,9,9,16,23,57,144,266,327.26250000000005,0.875,0.1875
16,20200302,14,9,37,61,98,218,454,891,334.68235294117653,5.970588235294119,0.8823529411764706
17,20200303,16,12,45,46,114,279,596,1108,343.3777777777778,6.444444444444445,0.9444444444444444
18,20200304,13,13,35,36,98,231,542,968,349.7263157894737,6.105263157894735,0.8421052631578947
19,20200305,17,7,27,36,78,204,520,889,356.29,4.874999999999999,0.65
20,20200306,19,7,16,33,68,157,415,715,360.7619047619048,4.19047619047619,0.6190476190476191
21,20200309,10,12,13,16,41,75,249,416,361.4909090909091,3.1590909090909087,0.5
22,20200310,12,9,20,19,55,130,338,583,363.7130434782609,4.021739130434782,0.5652173913043479
23,20200311,10,10,16,20,31,94,244,425,366.1333333333334,3.270833333333333,0.5
24,20200312,10,7,24,19,33,92,225,410,368.464,2.9400000000000004,0.4
25,20200313,8,10,19,17,41,100,221,416,376.4769230769231,3.5384615384615383,0.5384615384615384
