,date,style,field
0,20200210,7.389007688509697,8.546189126962794
1,20200211,7.158073447784694,9.362221542061768
2,20200212,6.866424566017838,9.931870419436349
3,20200213,6.546465448985141,8.883833218388991
4,20200214,5.826191743452134,6.100101052097863
5,20200217,5.223376269088486,8.856348486171905
6,20200218,5.951211147260105,9.178512375020809
7,20200219,6.267473844738118,9.350353919109583
8,20200220,7.793200442668798,8.109796061177391
9,20200221,7.65795776882465,8.069698557224159
10,20200224,6.459239918173054,8.027783075361553
11,20200225,6.549102830870671,8.667721807905993
12,20200226,6.479234079857055,6.881326003696256
13,20200227,6.539684047973431,8.325557143692544
14,20200228,7.263544089213194,9.00882242970124
15,20200302,6.755070068196215,8.789957689767155
16,20200303,7.261917977592842,7.0429995487268755
17,20200304,6.225388904347,9.74096744993039
18,20200305,6.408136188669651,9.047854671291521
19,20200306,6.022927353428265,9.326709215548743
20,20200309,5.800884112042421,8.799356063043263
21,20200310,6.835382152719752,8.796866415130223
22,20200311,6.811074397556499,9.002132910875247
23,20200312,5.5144564681878405,7.625659852527262
24,20200313,5.7435905933288005,7.262847098992209
25,20200316,6.341138213894415,8.088113293792993
26,20200317,5.23350408176289,7.9162428630939035
27,20200318,5.366918523769962,8.641260025216068
28,20200319,4.76309762932284,8.98028847336988
29,20200320,5.6085585709562675,8.617614639483422
30,20200323,5.0936374122588175,7.900440578284972
31,20200324,4.910207156213664,8.341628935808776
32,20200325,5.561255923568,9.29998538145633
33,20200326,5.374234718976323,8.991105215496283
34,20200327,4.50253830297141,8.285370192607196
35,20200330,4.91279938885849,8.690554702995435
36,20200331,6.0605857582467895,8.565311063239388
37,20200401,5.704179398603324,8.82674478012375
38,20200402,5.6648419077882455,9.967650221448059
39,20200403,6.013233163818484,8.949300086122834
40,20200407,7.000092097432736,9.29469225699962
41,20200408,6.261110892455736,8.647538897134845
42,20200409,6.781644879887858,8.526356038733363
43,20200410,5.380653369046676,7.865036952349833
44,20200413,4.459945140260358,9.209921316391563
45,20200414,6.409170285677997,7.28263002889478
46,20200415,5.8351698027119845,8.842195150475403
47,20200416,5.706992127072456,8.160210325349537
48,20200417,5.044572438609719,8.513316615784449
49,20200420,5.046696246715673,8.171167836601372
50,20200421,6.8541143238339375,9.498239167284911
51,20200422,6.369662920064856,9.370295489763278
52,20200423,5.092432014515626,9.181767913473069
53,20200424,4.9473937424768675,8.230626560229908
54,20200427,5.113332091188059,8.690515043298626
55,20200428,5.76433455749184,9.376864775496774
56,20200429,5.962519265930349,9.083938559993905
57,20200430,5.56199822744398,9.313066523611154
58,20200506,5.600674447224031,8.861360529690094
