,date,style,field
0,20200210.0,3.324295070969759,6.346353520838815
1,20200211.0,3.102406525271352,6.403112806687243
2,20200212.0,2.740392137652566,6.086480905575771
3,20200213.0,2.683876848393256,5.4848080476699685
4,20200214.0,2.970005373696358,5.827908792625251
5,20200217.0,2.8129931013207528,5.540036385384124
6,20200218.0,2.4246887092725458,5.536144182656729
7,20200219.0,2.852539526405875,4.900247197646354
8,20200220.0,3.318727155389192,5.2705474668191785
9,20200221.0,3.144074841602369,5.658550171195778
10,20200224.0,2.810674225249719,4.8063767751241215
11,20200225.0,3.1516476270443383,6.057820563672288
12,20200226.0,3.8762927553093434,6.631830179869998
13,20200227.0,3.255246816469052,6.805003790933365
14,20200228.0,3.993890757884509,6.1714060132081165
15,20200302.0,4.272887029891996,6.914657637231617
16,20200303.0,4.683397779170454,7.469568964179893
17,20200304.0,4.492118239418034,5.753044629031152
18,20200305.0,4.999152667038781,7.37316158546246
19,20200306.0,5.11886784231819,8.805947583750784
20,20200309.0,6.193397219860783,7.766736308278337
21,20200310.0,4.865011705863935,7.347793346383376
22,20200311.0,5.904830423777391,8.236959260257994
23,20200312.0,4.47551740509158,5.486047516580303
24,20200313.0,4.905697152178565,6.523373239308891
25,20200316.0,5.581493594433925,6.922392393511164
26,20200317.0,5.532194843067768,6.1618590782058895
27,20200318.0,5.301557694873376,7.135573246183679
28,20200319.0,4.664105354681787,6.353790094131729
29,20200320.0,5.909810438250686,6.382411492257527
30,20200323.0,5.768707303205259,7.203262351998114
31,20200324.0,5.411009771589328,7.805463075328606
32,20200325.0,5.1062999666591375,8.676993652812836
33,20200326.0,4.207988871123064,4.62520624803458
34,20200327.0,3.951105933442073,5.577149510217607
35,20200330.0,3.611457866574631,5.639840207507685
36,20200331.0,3.221058359026956,4.524661834824683
37,20200401.0,3.6280108665031854,4.582227342587755
38,20200402.0,5.89758704645187,8.15431428675177
39,20200403.0,5.712182159949313,5.594876444213672
40,20200407.0,5.11398847296726,5.3342648877424645
41,20200408.0,4.818651241062009,5.85355093780985
42,20200409.0,4.882541693363279,5.04548248263376
43,20200410.0,4.045466382028582,5.077972671568201
44,20200413.0,4.438165151145329,5.42307177751358
45,20200414.0,4.20290783903589,5.179197418567104
46,20200415.0,3.2027247768823788,3.90812170320752
47,20200416.0,3.2543326043533485,4.271134600296345
48,20200417.0,4.57122057223626,5.509493146912667
49,20200420.0,4.298518108688317,5.504087166702708
50,20200421.0,5.157884508210919,6.346424421462792
51,20200422.0,5.6386043288614,6.199058392157284
52,20200423.0,5.256274682897569,6.127815410032962
53,20200424.0,5.206537297826181,7.405371728783795
54,20200427.0,5.459730934054536,4.946498957941826
55,20200428.0,5.009967125217711,6.325659117327561
56,20200429.0,4.877208414511966,7.760165574747645
57,20200430.0,3.865314062054495,5.268911097542822
58,20200506.0,3.9636910160567553,7.560604504877287
59,20200507.0,4.986549081695411,7.524093938805138
60,20200508.0,4.816815062558663,5.290304368420317
61,20200511.0,5.29444678124474,5.8541392227195965
62,20200512.0,5.719101848103741,5.359744321486136
63,20200513.0,5.3712709634713125,5.163369659797378
64,20200514.0,3.882831625243638,4.76756130781216
65,20200515.0,3.2483397568180035,6.023605203461579
66,20200518.0,5.048153856651904,7.020940615003358
67,20200519.0,4.659694796530239,6.88648969417595
68,20200520.0,4.449582485985409,6.832846706050289
69,20200521.0,5.0446129170422696,7.537699936401747
70,20200522.0,5.926503136657648,7.234168193592246
71,20200525.0,4.677642917687957,6.274113434118431
72,20200526.0,5.1846805056457015,6.919386076756865
73,20200527.0,4.9085658561723005,7.737441081039811
74,20200528.0,4.73366860905224,7.031135237826241
75,20200529.0,4.942184863836772,7.670673391756807
76,20200601.0,4.421175672759334,7.848255033618698
77,20200602.0,3.615361460662132,5.658367528677258
78,20200603.0,4.009068816411681,4.917526644989099
79,20200604.0,4.338284111415192,6.585802367374982
80,20200605.0,4.433201081193136,6.330889151975359
81,20200608.0,4.667801185086251,6.925076810234416
82,20200609.0,4.466780449243739,6.079687240143805
83,20200610.0,5.077320660506325,5.233016902387174
84,20200611.0,5.278476253651119,5.361534113656608
85,20200612.0,4.544994570760705,5.100552852283447
86,20200615.0,3.4973982367963323,4.251332684011267
87,20200616.0,3.5352726438158344,4.535143406291499
88,20200617.0,3.1196171884139545,4.141117852298221
89,20200618.0,4.090831100769489,3.801017668376752
90,20200619.0,5.100670375590651,5.315258225033601
91,20200622.0,4.740458665569643,6.685455433868357
92,20200623.0,4.330141078785894,3.892321255367773
93,20200624.0,3.9658515547641504,4.151922993612436
94,20200629.0,3.520525710422571,4.513624364484572
95,20200630.0,3.6461636984692567,5.379043996811697
96,20200701.0,4.448050957968716,7.078665119384308
97,20200702.0,4.059070734193827,7.823833906236207
98,20200703.0,4.331583037610382,5.017946973793904
99,20200706.0,2.9580168780911538,3.371065471454548
100,20200707.0,3.187547963725493,5.787568246837624
101,20200708.0,3.3394452540496875,5.224278887675688
102,20200709.0,3.869168069815725,8.004691219716642
103,20200710.0,3.835725027360225,7.241573449100612
104,20200713.0,4.961638527688526,4.467729921447935
105,20200714.0,4.756564696457803,7.357800272245614
106,20200715.0,6.154818567610628,7.69568206312548
107,20200716.0,6.711481148344121,8.485242412138469
108,20200717.0,6.649941565195788,9.749959213376949
109,20200720.0,6.343707001528925,6.822987283520897
110,20200721.0,6.867026074159126,8.835511821628534
111,20200722.0,6.238582807407405,9.058070110526028
112,20200723.0,6.203140405933493,6.929904915979259
113,20200724.0,5.535066916894124,5.998058446412033
114,20200727.0,6.177454821666624,7.373336686267459
115,20200728.0,4.77331347091091,7.57808018443805
116,20200729.0,5.461727067611283,7.623557560543547
117,20200730.0,5.952227276571372,6.139663120380293
118,20200731.0,5.890825207659548,5.511229265598503
119,20200803.0,5.476540242738569,5.903413515680814
120,20200804.0,6.171096769703985,7.939240800372511
121,20200805.0,6.805205628121275,7.861580422878855
122,20200806.0,5.339145155094613,5.637330469479609
123,20200807.0,5.140132925474997,5.304849045988239
