,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
0,20240221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20240222.0,1.0,1.0,2.0,3.0,3.0,2.0,,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0
2,20240223.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,,4.0,4.0,4.0
3,20240226.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,
4,20240227.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,
5,20240228.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,
6,20240229.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,,4.0,4.0,4.0
7,20240301.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,,4.0,4.0
8,20240304.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,,4.0,4.0
9,20240305.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,3.0,,4.0,4.0
10,20240306.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,,4.0
11,20240307.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,,
12,20240308.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,
13,20240311.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,,3.0,4.0,4.0
14,20240312.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,
0,20240313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
