,date,style,field
0,20240221.0,6.652886050839235,7.392182145848148
1,20240222.0,5.705214294393296,9.219255333136744
2,20240223.0,6.336870999065285,8.67457021084857
3,20240226.0,5.146373681896587,5.798870687509198
4,20240227.0,6.715949960475694,5.517849362559691
5,20240228.0,6.030569983882188,6.6807277987374825
6,20240229.0,4.52675620896964,9.736079524197532
7,20240301.0,5.827038592960072,8.501351803144239
8,20240304.0,5.340107522126735,8.789672544516012
9,20240305.0,5.157953346895454,8.627677697968236
10,20240306.0,5.404651424375516,9.104279327365813
11,20240307.0,5.420106426992459,8.641390846212833
12,20240308.0,6.462424766991898,7.811708996481744
13,20240311.0,5.494391694097314,8.158672574124504
14,20240312.0,6.313785872030979,8.152994255894205
0,20240313.0,6.035429896993997,8.054730966495057
