,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
0,20240221.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20240222.0,1.0,1,1,2,1.0,2,1,2,1,3,1,4,3,2.0,2,3,4,4,4,4.0,2,4,3,3.0,3.0,1,4,4,4,4,,4,4.0,4.0,2,4,3.0,4.0,3.0,2.0,4.0,,,,,,
2,20240223.0,1.0,4,1,1,4.0,1,1,2,3,1,2,3,4,1.0,3,4,2,1,1,3.0,3,4,4,4.0,4.0,4,2,2,4,2,4.0,2,4.0,4.0,3,3,3.0,4.0,,2.0,3.0,4.0,4.0,,,,
3,20240226.0,2.0,1,2,1,1.0,4,1,1,1,4,3,3,1,,2,4,4,1,4,4.0,2,4,2,3.0,4.0,3,2,2,4,3,4.0,4,3.0,4.0,4,4,3.0,2.0,4.0,3.0,4.0,1.0,,,,,
4,20240227.0,3.0,4,1,4,1.0,1,1,1,1,3,2,2,4,1.0,2,1,2,3,2,3.0,2,4,2,2.0,4.0,4,4,3,3,3,4.0,4,4.0,4.0,4,4,4.0,4.0,4.0,3.0,2.0,4.0,1.0,,,,
5,20240228.0,1.0,4,2,1,2.0,2,4,1,1,1,2,1,3,2.0,2,3,1,4,3,4.0,3,3,2,4.0,4.0,4,3,4,2,4,4.0,4,4.0,4.0,4,3,4.0,1.0,4.0,3.0,,,,,,,
6,20240229.0,1.0,1,1,3,2.0,2,1,1,1,2,1,2,1,2.0,3,4,3,4,4,3.0,2,4,3,4.0,3.0,4,2,4,4,3,4.0,4,4.0,4.0,4,4,,4.0,2.0,3.0,4.0,,,,,,
7,20240301.0,1.0,2,3,1,1.0,1,1,4,2,2,4,4,1,2.0,4,1,2,4,2,4.0,4,3,4,3.0,4.0,1,2,4,2,4,4.0,1,3.0,4.0,4,4,3.0,,4.0,3.0,3.0,3.0,,,,,
8,20240304.0,1.0,1,1,1,3.0,4,1,1,1,1,2,1,2,3.0,4,2,4,2,4,3.0,2,4,4,2.0,4.0,3,3,4,2,4,4.0,3,4.0,2.0,4,4,4.0,3.0,3.0,4.0,3.0,4.0,,,,,
9,20240305.0,2.0,1,1,1,2.0,4,1,4,2,1,1,2,2,1.0,1,4,2,3,4,2.0,3,3,3,4.0,4.0,2,3,3,4,4,4.0,4,3.0,4.0,4,4,4.0,3.0,4.0,,4.0,,,,,,
10,20240306.0,1.0,3,1,1,1.0,2,2,4,3,3,1,1,1,2.0,4,2,2,4,3,3.0,1,3,4,4.0,2.0,4,4,4,2,4,4.0,4,2.0,,4,4,3.0,3.0,4.0,4.0,4.0,,,,,,
11,20240307.0,1.0,1,1,4,2.0,2,2,2,1,2,1,3,1,2.0,2,3,3,1,1,2.0,4,4,4,3.0,4.0,4,3,4,3,4,4.0,3,4.0,4.0,4,4,3.0,4.0,4.0,4.0,,,,,,,
12,20240308.0,1.0,1,2,2,2.0,1,2,2,3,1,2,1,4,1.0,1,3,3,2,4,1.0,4,4,3,2.0,3.0,1,2,4,4,4,4.0,4,4.0,3.0,4,4,4.0,3.0,3.0,4.0,4.0,,4.0,4.0,,,
13,20240311.0,1.0,1,3,1,1.0,2,1,2,1,2,3,1,2,1.0,2,2,3,4,1,3.0,4,3,4,4.0,3.0,4,4,4,4,4,4.0,3,,3.0,4,4,2.0,4.0,2.0,4.0,4.0,4.0,,,,,
14,20240312.0,1.0,1,1,1,1.0,3,1,2,1,4,3,2,2,2.0,1,3,2,2,4,3.0,4,4,4,,3.0,4,4,4,4,4,2.0,3,2.0,1.0,4,3,4.0,4.0,3.0,3.0,4.0,4.0,4.0,,,,
1,20240314.0,,2,4,3,,4,4,4,3,3,2,1,1,2,1,4,4,2,2,,4,2,2,,,1,3,4,4,3,4,1,4,3,4,1,4,1,1,4,4,3,3,2,,1,4
