,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
31,20200324,,2,4,3,4,3,4,4,4,3,1,1,2,4,1,1,,2,2,3,1,2,4,,4,1,1,4,1,4,4,4,3,4,4,2,4,2,3,1,4,2,3,4,,3,2
32,20200325,,4,4,3,4,3,4,4,3,4,2,1,1,4,1,1,4,2,1,4,2,2,2,,2,1,2,4,1,4,4,4,3,,4,4,4,1,3,1,4,3,2,3,,3,2
33,20200326,,4,3,3,4,3,4,4,3,2,2,1,1,4,1,1,4,4,1,4,2,2,3,,4,2,2,3,1,1,4,4,4,,4,2,4,1,4,1,4,2,2,4,,3,3
34,20200327,,4,3,3,,4,4,,2,3,2,1,2,4,1,1,4,4,1,4,2,2,3,,4,1,1,3,1,2,4,3,3,4,3,4,4,2,4,1,4,2,1,3,,4,4
35,20200330,,4,3,3,4,3,4,4,4,4,2,1,1,4,1,1,4,4,1,4,1,2,2,,4,1,2,4,1,2,4,3,2,4,3,3,4,2,3,1,,2,2,4,,4,3
36,20200331,,4,2,3,4,4,4,4,3,3,3,1,1,4,1,1,3,3,1,4,2,2,2,,3,1,2,4,1,2,4,4,2,,,4,4,2,4,1,4,4,1,3,,4,3
37,20200401,,4,4,3,,4,4,4,2,3,3,1,1,4,1,1,4,4,1,3,2,2,3,,3,1,1,4,1,2,4,3,2,,4,4,4,2,3,1,4,4,2,3,,4,2
38,20200402,,4,4,2,4,4,4,4,3,3,2,1,2,,1,1,4,4,1,4,3,2,2,,3,1,3,4,1,2,4,3,2,4,4,4,4,1,2,1,4,3,1,3,,4,2
39,20200403,,4,4,2,,4,,4,3,3,2,1,1,4,1,1,4,4,1,4,4,1,2,,3,1,2,4,1,2,4,3,2,4,4,3,3,2,3,1,4,3,3,2,,4,4
40,20200407,,4,3,2,4,4,4,4,3,3,2,1,1,,1,2,4,4,1,4,4,2,2,,3,1,4,4,1,2,4,3,2,4,4,3,4,1,1,1,,,3,2,,3,4
41,20200408,,4,4,2,,4,4,,3,3,4,1,1,4,1,4,4,4,1,3,2,2,4,,2,1,2,4,1,3,4,3,2,,4,2,3,1,3,1,4,4,2,3,,4,
42,20200409,,4,4,3,4,4,4,4,2,3,2,1,1,4,1,4,4,4,1,4,3,3,4,,1,1,3,3,2,3,4,3,2,4,,1,2,2,3,1,,1,2,2,,4,4
43,20200410,,4,4,2,,4,4,4,3,3,3,1,1,3,1,1,4,4,1,3,1,2,2,,4,2,3,4,1,2,4,4,4,4,4,2,3,2,3,1,,2,1,3,,4,4
44,20200413,,4,4,2,4,4,4,4,4,3,3,1,3,4,1,1,4,4,1,3,1,2,3,,2,1,2,4,1,2,4,3,2,4,4,2,,2,3,1,,3,1,4,,4,
45,20200414,,4,3,1,4,4,4,4,4,4,3,1,4,3,1,1,4,3,1,4,3,2,2,,3,1,1,4,1,2,4,2,2,,3,2,,2,3,1,4,3,2,4,,4,4
46,20200415,,4,3,1,,3,4,4,4,4,2,2,4,3,1,1,4,4,1,,1,2,4,,4,1,2,4,1,1,3,2,3,4,4,2,,2,3,1,4,3,2,3,,4,4
47,20200416,,4,3,1,4,3,,4,4,4,2,1,3,2,1,1,4,4,1,4,2,2,3,,4,1,1,4,1,2,3,3,4,4,,2,4,3,2,1,4,4,2,3,,4,
48,20200417,,4,4,1,4,2,4,4,,4,3,1,4,3,1,1,4,3,1,4,2,2,3,,3,2,2,4,1,1,2,3,4,4,4,2,,2,3,1,4,3,1,4,,4,
49,20200420,,4,4,2,4,3,4,4,4,3,2,1,2,2,1,1,3,4,1,4,2,3,4,,2,1,1,4,1,2,3,4,2,4,4,3,4,4,3,1,,3,1,3,,4,
50,20200421,,4,4,2,4,4,3,4,3,4,2,1,1,3,1,1,4,2,1,4,4,2,3,,3,1,4,4,2,2,3,2,3,4,,4,,2,3,1,4,,1,4,,4,
51,20200422,,4,4,1,4,2,4,4,4,4,1,1,4,3,1,1,4,2,1,4,4,2,2,,3,1,3,4,2,2,4,1,3,,3,3,,2,3,1,4,4,2,3,,4,
52,20200423,,4,4,2,4,3,,4,4,4,2,1,3,3,1,1,4,3,2,4,2,2,3,,4,1,2,,1,2,3,1,4,4,4,3,4,2,3,1,,4,1,4,,4,
53,20200424,,4,4,3,,4,4,4,2,4,3,1,2,3,1,1,4,3,1,4,2,4,4,,4,2,3,4,1,1,4,2,2,,3,2,4,3,3,1,,4,1,2,,4,
54,20200427,,4,4,1,,4,4,4,3,,2,1,1,4,1,1,4,4,1,4,3,3,3,,2,1,2,4,2,2,3,2,3,4,3,4,4,2,2,1,4,3,1,4,,4,
55,20200428,,4,4,1,4,3,4,4,2,,1,1,2,4,1,2,4,2,2,4,2,2,3,,1,1,3,4,3,1,4,1,3,4,2,4,4,2,4,1,3,4,3,4,,4,3
56,20200429,,4,4,1,4,2,4,4,2,4,2,1,1,3,1,3,4,4,1,4,3,2,2,,4,1,3,4,4,2,3,2,4,4,4,2,4,2,1,1,3,3,1,3,,,4
57,20200430,,4,4,1,,2,4,4,3,4,2,1,2,2,1,1,4,4,1,4,4,2,4,,4,2,2,4,3,1,4,3,3,4,3,3,,2,1,1,3,3,1,3,,4,4
58,20200506,,4,4,1,,2,,4,3,4,2,1,2,2,1,1,4,4,2,4,3,1,3,,4,2,3,4,3,1,4,3,3,3,4,2,4,2,1,1,3,4,1,4,,4,4
59,20200507,,4,3,1,3,4,4,4,2,4,1,1,1,2,1,1,,4,2,4,4,3,4,,4,1,4,4,4,2,3,3,4,3,4,2,4,2,1,1,2,3,2,3,,3,
60,20200508,,4,4,1,4,4,4,4,1,4,1,2,2,2,1,1,,4,2,3,2,2,4,,3,1,4,4,3,1,4,3,3,3,4,2,4,2,1,1,3,2,3,4,,4,4
61,20200511,,,4,2,,2,3,4,4,4,2,1,1,2,1,1,,4,3,4,3,2,4,,4,2,3,4,4,1,4,2,3,4,2,3,4,1,1,1,3,3,1,4,,4,4
62,20200512,,4,4,2,2,4,4,4,3,4,3,1,1,2,1,1,4,4,3,4,2,3,4,,4,2,4,,3,1,4,2,3,3,1,2,4,1,2,1,4,2,1,4,,3,4
63,20200513,,4,4,1,,4,3,3,4,4,3,1,1,2,1,1,,3,1,4,2,3,4,,4,1,2,4,4,1,,2,3,3,4,2,4,2,3,1,2,2,4,4,,4,4
64,20200514,,4,4,2,3,3,4,3,,4,2,1,2,2,1,1,,3,1,4,3,4,4,,3,1,3,4,2,1,4,1,2,3,4,4,4,3,1,1,2,4,2,4,,4,4
65,20200515,,4,4,2,4,4,3,3,4,,2,1,2,2,1,1,,4,1,,3,3,3,,4,1,2,4,2,1,4,3,4,3,4,4,4,2,1,1,4,3,2,4,,4,
66,20200518,,4,4,2,4,4,2,3,4,4,4,1,3,3,1,1,4,2,2,4,4,2,4,,3,1,4,4,3,1,4,3,2,2,,3,,1,1,1,4,2,3,4,,,
67,20200519,,4,4,1,4,,3,4,4,4,1,1,3,3,1,1,4,3,2,4,4,2,2,,2,1,4,4,2,2,4,3,2,4,,3,,1,3,1,4,3,2,4,,,4
68,20200520,,4,,1,4,4,2,3,4,4,3,1,3,1,1,1,,4,1,3,3,2,4,,3,1,3,4,2,1,4,2,3,4,4,2,4,2,2,1,4,4,2,4,,4,
69,20200521,,4,3,3,3,2,4,4,3,4,4,1,4,1,1,1,4,3,1,4,2,2,3,,3,1,4,3,2,1,3,2,4,4,4,2,,2,2,1,4,1,4,,,4,4
70,20200522,,3,3,4,,4,4,4,4,4,1,1,2,3,1,1,4,2,1,,2,2,3,,4,1,3,2,2,2,4,3,3,4,4,2,,1,3,1,4,1,4,4,,4,4
71,20200525,,4,4,3,4,2,4,,3,4,3,1,2,2,1,1,4,3,1,4,3,2,4,,4,1,3,2,3,2,4,3,2,4,4,3,4,1,2,1,4,1,1,4,,,4
72,20200526,,4,4,3,4,4,4,4,2,4,3,1,2,3,1,1,4,4,1,4,2,2,4,,2,1,3,3,1,1,4,4,2,3,,3,4,2,2,1,3,1,3,4,,,4
73,20200527,,4,4,2,4,4,4,4,3,4,3,2,2,3,2,1,,3,1,,2,1,4,,3,1,3,4,4,1,4,4,3,4,,2,4,1,2,1,4,1,2,3,,4,
74,20200528,,3,4,3,3,3,4,4,4,4,2,1,1,4,2,1,4,4,1,4,3,2,3,,2,1,2,3,4,1,4,3,2,3,,2,4,2,1,1,4,1,4,4,,,4
75,20200529,,4,4,3,4,2,4,4,3,,1,1,2,4,1,1,,3,2,4,2,2,4,,4,1,3,3,2,1,4,3,3,4,,2,4,2,1,1,4,1,3,4,,4,4
76,20200601,,4,4,2,4,3,2,4,3,,3,1,1,4,1,1,,4,1,2,2,1,4,,2,1,3,4,4,3,4,2,3,4,4,2,4,2,1,1,3,3,4,3,,4,4
77,20200602,,4,3,2,4,4,1,3,3,4,2,1,2,4,1,1,,4,3,4,2,1,4,,3,1,3,4,3,3,4,2,1,4,,2,4,1,2,2,3,1,4,4,,4,4
78,20200603,,4,3,2,,4,3,4,4,4,2,1,1,4,1,1,4,3,1,2,2,1,4,,2,1,2,4,4,1,4,3,3,4,4,3,4,3,2,1,4,3,4,2,,,
79,20200604,,4,3,3,4,3,4,4,3,4,1,1,2,,1,3,4,3,1,3,3,1,2,,2,1,2,4,4,1,4,1,2,4,,3,4,2,1,2,4,4,2,4,,4,4
80,20200605,,4,3,4,4,2,4,4,4,4,3,1,3,4,1,1,,3,1,2,1,1,4,,2,1,2,3,3,1,4,3,2,4,,2,4,2,2,1,4,3,4,3,,4,4
81,20200608,,,2,3,,3,4,3,4,4,2,1,1,4,1,1,4,4,1,4,1,2,3,,2,1,2,3,4,1,4,2,3,4,,3,3,2,2,1,4,4,4,4,,4,4
82,20200609,,4,2,3,,4,3,4,4,4,2,1,1,,1,1,,4,1,3,2,2,3,,3,1,2,2,2,1,4,2,3,4,,4,4,3,3,1,4,4,4,4,,4,4
