,date,大金融,房地产,计算机,节能环保,汽车产业,基建,电池,光伏,家电,饰品,乡村振兴,电子,电力,医药生物,运输业,油气,有色金属,通信,传媒,化工,电网,机械,商贸零售,假期经济,造纸,军工,美容护理,教育,食品饮料,风电,煤炭,体育产业,钢铁,其他,电商,纺织服饰,核电核能,稀土永磁,氢能源,烟草,人形机器人,家居用品,充换电,储能,两轮车,检测服务,食品医疗
16,20200303.0,4.0,1.0,4.0,4.0,4,3.0,4.0,3.0,3.0,4,1.0,1.0,2.0,4.0,1,1.0,3.0,4.0,1.0,4.0,3.0,1,2.0,4,3.0,1.0,3.0,4.0,4.0,3.0,4.0,2,4.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,4,4.0,4.0,2.0,2.0,2.0,4.0
17,20200304.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,1,1.0,4.0,4.0,3.0,4.0,4.0,1,2.0,4,2.0,1.0,1.0,4.0,2.0,3.0,4.0,3,4.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,4,4.0,2.0,2.0,4,2.0,4.0
18,20200305.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,1,2.0,4.0,4.0,2.0,4,2.0,1,2.0,4,3.0,1.0,3.0,3.0,4.0,2.0,4.0,2,3.0,4.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,4,4.0,2.0
19,20200306.0,4.0,1.0,4.0,4.0,4,3.0,4.0,4.0,4.0,4,3.0,1.0,4.0,2.0,1,2.0,3.0,4.0,1.0,4,2.0,1,3.0,4,4.0,1.0,2.0,3.0,2.0,1.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,3.0,1.0,4,4,2.0,2.0,4,2.0,3.0
20,20200309.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4,2.0,1.0,3.0,3.0,1,1.0,3.0,4.0,1.0,4,2.0,1,2.0,4,4.0,1.0,3.0,4,2.0,2.0,4.0,4,3.0,4.0,4.0,4.0,4,4.0,4.0,1.0,4.0,4.0,2.0,2.0,4,2.0,4.0
21,20200310.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1,1.0,3.0,4.0,1.0,4.0,3.0,1,2.0,4,2.0,1.0,4.0,2.0,4.0,3.0,4.0,4,3.0,4.0,4.0,3.0,4,1.0,3.0,1.0,4,4.0,4.0,2.0,4,2.0,3.0
22,20200311.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,4,3.0,4.0,2.0,1.0,3.0,2.0,1,1.0,4.0,4.0,1.0,4.0,2.0,1,4.0,4,2.0,1.0,4.0,2.0,4.0,2.0,4.0,4,3.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,4,3.0,2.0
23,20200312.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1,1.0,3.0,2.0,1.0,4.0,3.0,1,4.0,4,2.0,1.0,3.0,3.0,4.0,2.0,4.0,4,4.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4,3.0,2.0,2.0,4,2.0,1.0
24,20200313.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4,4.0,4.0,1.0,2.0,4.0,1.0,1,1.0,4.0,4.0,1.0,4.0,4.0,1,3.0,4,4.0,1.0,3.0,2.0,2.0,3.0,4.0,3,4.0,4,4.0,2.0,4.0,3.0,2.0,1.0,4,4.0,3.0,2.0,4,2.0,1.0
25,20200316.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4,2.0,1.0,3.0,4.0,1,2.0,3.0,3.0,1.0,4,3.0,2,4.0,4,3.0,1.0,2.0,3.0,1.0,1.0,4.0,4,4.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,4,3.0,2.0
26,20200317.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,1,1.0,3.0,3.0,1.0,4.0,2.0,3,4.0,4,3.0,1.0,1.0,2.0,1.0,3.0,4.0,2,4.0,4.0,4,2.0,4.0,2.0,4.0,1.0,4,2.0,1.0,4.0,4,3.0,2.0
27,20200318.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1,2.0,4.0,3.0,1.0,4.0,1.0,3,3.0,4,3.0,1.0,1.0,3.0,1.0,2.0,4.0,2,4.0,4,4.0,2.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,4,2.0,4.0
28,20200319.0,4.0,4.0,4.0,3.0,4.0,4,4.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,1,2.0,4.0,4.0,1.0,4.0,1.0,3,3.0,4,4.0,1.0,2.0,2.0,1.0,2.0,4.0,4,3.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,4,4.0,3.0
29,20200320.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,1,1.0,4.0,4.0,1.0,4.0,2.0,2,3.0,4,3.0,1.0,1.0,4.0,1.0,2.0,4.0,4,3.0,4.0,4,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4,2.0,3.0
30,20200323.0,4.0,4.0,2.0,4.0,4,2.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1,1.0,4,3.0,2.0,4.0,3.0,1,4.0,4,2.0,1.0,2.0,4.0,1.0,4.0,4.0,4,2.0,4.0,4,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4,2.0,2.0
31,20200324.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,1,1.0,4,2.0,2.0,3.0,1.0,2,4.0,4,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4,3.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,4,3.0,2.0
32,20200325.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,1,1.0,4.0,2.0,1.0,4.0,2.0,2,2.0,4,2.0,1.0,2.0,4.0,1.0,4.0,4.0,4,3.0,4,4.0,4.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,4,3.0,2.0
33,20200326.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,1,1.0,4.0,4.0,1.0,4.0,2.0,2,3.0,4,4.0,2.0,2.0,3.0,1.0,1.0,4.0,4,4.0,4,4.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,4,3.0,3.0
34,20200327.0,4.0,4.0,3.0,3.0,4,4.0,4.0,4,2.0,3.0,2.0,1.0,2.0,4.0,1,1.0,4.0,4.0,1.0,4.0,2.0,2,3.0,4,4.0,1.0,1.0,3.0,1.0,2.0,4.0,3,3.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,4,4.0,4.0
35,20200330.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,1,1.0,4.0,4.0,1.0,4.0,1.0,2,2.0,4,4.0,1.0,2.0,4.0,1.0,2.0,4.0,3,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,4,2.0,2.0,4.0,4,4.0,3.0
36,20200331.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,1,1.0,3.0,3.0,1.0,4.0,2.0,2,2.0,4,3.0,1.0,2.0,4.0,1.0,2.0,4.0,4,2.0,4,4,4.0,4.0,2.0,4.0,1.0,4.0,4.0,1.0,3.0,4,4.0,3.0
37,20200401.0,4.0,4.0,4.0,3.0,4,4.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,1,1.0,4.0,4.0,1.0,3.0,2.0,2,3.0,4,3.0,1.0,1.0,4.0,1.0,2.0,4.0,3,2.0,4,4.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,4,4.0,2.0
38,20200402.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,4,1,1.0,4.0,4.0,1.0,4.0,3.0,2,2.0,4,3.0,1.0,3.0,4.0,1.0,2.0,4.0,3,2.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,4,4.0,2.0
39,20200403.0,4.0,4.0,4.0,2.0,4,4.0,4,4.0,3.0,3.0,2.0,1.0,1.0,4.0,1,1.0,4.0,4.0,1.0,4.0,4.0,1,2.0,4,3.0,1.0,2.0,4.0,1.0,2.0,4.0,3,2.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,4,4.0,4.0
40,20200407.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,4,1,2.0,4.0,4.0,1.0,4.0,4.0,2,2.0,4,3.0,1.0,4.0,4.0,1.0,2.0,4.0,3,2.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,4,4,3.0,2.0,4,3.0,4.0
41,20200408.0,4.0,4.0,4.0,2.0,4,4.0,4.0,4,3.0,3.0,4.0,1.0,1.0,4.0,1,4.0,4.0,4.0,1.0,3.0,2.0,2,4.0,4,2.0,1.0,2.0,4.0,1.0,3.0,4.0,3,2.0,4,4.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,4,4.0,4
42,20200409.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,1,4.0,4.0,4.0,1.0,4.0,3.0,3,4.0,4,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3,2.0,4.0,4,1.0,2.0,2.0,3.0,1.0,4,1.0,2.0,2.0,4,4.0,4.0
43,20200410.0,4.0,4.0,4.0,2.0,4,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1,1.0,4.0,4.0,1.0,3.0,1.0,2,2.0,4,4.0,2.0,3.0,4.0,1.0,2.0,4.0,4,4.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,4,2.0,1.0,3.0,4,4.0,4.0
44,20200413.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,1,1.0,4.0,4.0,1.0,3.0,1.0,2,3.0,4,2.0,1.0,2.0,4.0,1.0,2.0,4.0,3,2.0,4.0,4.0,2.0,4,2.0,3.0,1.0,4,3.0,1.0,4.0,4,4.0,4
45,20200414.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,1,1.0,4.0,3.0,1.0,4.0,3.0,2,2.0,4,3.0,1.0,1.0,4.0,1.0,2.0,4.0,2,2.0,4,3.0,2.0,4,2.0,3.0,1.0,4.0,3.0,2.0,4.0,4,4.0,4.0
46,20200415.0,4.0,4.0,3.0,1.0,4,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,1,1.0,4.0,4.0,1.0,4,1.0,2,4.0,4,4.0,1.0,2.0,4.0,1.0,1.0,3.0,2,3.0,4.0,4.0,2.0,4,2.0,3.0,1.0,4.0,3.0,2.0,3.0,4,4.0,4.0
47,20200416.0,4.0,4.0,3.0,1.0,4.0,3.0,4,4.0,4.0,4.0,2.0,1.0,3.0,2.0,1,1.0,4.0,4.0,1.0,4.0,2.0,2,3.0,4,4.0,1.0,1.0,4.0,1.0,2.0,3.0,3,4.0,4.0,4,2.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,4,4.0,4
48,20200417.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4,4.0,3.0,1.0,4.0,3.0,1,1.0,4.0,3.0,1.0,4.0,2.0,2,3.0,4,3.0,2.0,2.0,4.0,1.0,1.0,2.0,3,4.0,4.0,4.0,2.0,4,2.0,3.0,1.0,4.0,3.0,1.0,4.0,4,4.0,4
49,20200420.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1,1.0,3.0,4.0,1.0,4.0,2.0,3,4.0,4,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4,2.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,4,3.0,1.0,3.0,4,4.0,4
50,20200421.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,1,1.0,4.0,2.0,1.0,4.0,4.0,2,3.0,4,3.0,1.0,4.0,4.0,2.0,2.0,3.0,2,3.0,4.0,4,4.0,4,2.0,3.0,1.0,4.0,4,1.0,4.0,4,4.0,4
51,20200422.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1,1.0,4.0,2.0,1.0,4.0,4.0,2,2.0,4,3.0,1.0,3.0,4.0,2.0,2.0,4.0,1,3.0,4,3.0,3.0,4,2.0,3.0,1.0,4.0,4.0,2.0,3.0,4,4.0,4
52,20200423.0,4.0,4.0,4.0,2.0,4.0,3.0,4,4.0,4.0,4.0,2.0,1.0,3.0,3.0,1,1.0,4.0,3.0,2.0,4.0,2.0,2,3.0,4,4.0,1.0,2.0,4,1.0,2.0,3.0,1,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,4,4.0,1.0,4.0,4,4.0,4
53,20200424.0,4.0,4.0,4.0,3.0,4,4.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,1,1.0,4.0,3.0,1.0,4.0,2.0,4,4.0,4,4.0,2.0,3.0,4.0,1.0,1.0,4.0,2,2.0,4,3.0,2.0,4.0,3.0,3.0,1.0,4,4.0,1.0,2.0,4,4.0,4
54,20200427.0,4.0,4.0,4.0,1.0,4,4.0,4.0,4.0,3.0,4,2.0,1.0,1.0,4.0,1,1.0,4.0,4.0,1.0,4.0,3.0,3,3.0,4,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2,3.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,4.0,4,4.0,4
55,20200428.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,4,1.0,1.0,2.0,4.0,1,2.0,4.0,2.0,2.0,4.0,2.0,2,3.0,4,1.0,1.0,3.0,4.0,3.0,1.0,4.0,1,3.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4,4.0,3.0
56,20200429.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,1,3.0,4.0,4.0,1.0,4.0,3.0,2,2.0,4,4.0,1.0,3.0,4.0,4.0,2.0,3.0,2,4.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,4,4,4.0
57,20200430.0,4.0,4.0,4.0,1.0,4,2.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,2.0,1,1.0,4.0,4.0,1.0,4.0,4.0,2,4.0,4,4.0,2.0,2.0,4.0,3.0,1.0,4.0,3,3.0,4.0,3.0,3.0,4,2.0,1.0,1.0,3.0,3.0,1.0,3.0,4,4.0,4.0
58,20200506.0,4.0,4.0,4.0,1.0,4,2.0,4,4.0,3.0,4.0,2.0,1.0,2.0,2.0,1,1.0,4.0,4.0,2.0,4.0,3.0,1,3.0,4,4.0,2.0,3.0,4.0,3.0,1.0,4.0,3,3.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,4,4.0,4.0
