,date,1,2,3,4,5,6,7,8,>9,>7
0,20231130,0.971469329529244,0.9296657381615601,0.8915971776779987,0.8465387823185988,0.8328625235404898,0.7928697701826755,0.7417721518987341,0.7359550561797752,698,944
1,20231201,1.1378340365682136,0.8911439114391144,0.8389830508474576,0.8118531121508579,0.805761316872428,0.7782581840642371,0.77365308804205,0.7713004484304933,567,762
2,20231204,1.3615819209039546,1.0108303249097474,0.9356999330207636,0.884963023829088,0.7782144862436835,0.7518684603886399,0.73114463176575,0.7208706786171575,549,746
3,20231205,1.6309012875536482,1.2278787878787876,0.9424342105263159,0.9153046062407131,0.9003931847968545,0.7965260545905706,0.7846003898635476,0.7784583971413988,423,587
4,20231206,1.1521456436931081,1.138763197586727,1.1015831134564644,1.0515378221113885,1.0121654501216542,0.9842651489789087,0.7767068273092372,0.6742770167427701,497,670
5,20231207,1.2075242718446604,1.1332335329341316,0.8955613577023498,0.8687943262411346,0.8013333333333332,0.7941473259334006,0.744975744975745,0.7194244604316546,516,687
6,20231208,1.0893118594436308,1.063397129186603,0.8722358722358721,0.8629921259842521,0.7920792079207919,0.6837438423645319,0.6637478108581436,0.661254708403689,371,494
7,20231211,1.1296060991105468,1.0875179340028698,1.0095808383233535,0.7974975304576886,0.7967988865692417,0.7754199823165338,0.7468701095461658,0.725125268432355,419,569
8,20231212,1.2936962750716332,1.1343669250645996,1.1282973621103118,1.0056497175141241,0.8647342995169083,0.8354545454545457,0.7762128325508608,0.7482142857142857,452,588
9,20231213,1.2979539641943734,1.2231759656652357,1.1636582430806257,1.149859943977591,0.926654740608229,0.9167473378509197,0.8355371900826447,0.8136363636363635,428,585
10,20231214,1.2998585572843,1.2111977321048903,1.1077111383108935,0.9400479616306954,0.8354620586025543,0.8232142857142859,0.790338164251208,0.7228739002932552,368,496
11,20231215,1.2246642246642248,1.1196105702364396,1.0946327683615817,0.9411071849234394,0.902654867256637,0.8353825136612021,0.8,0.7850232891436761,274,395
12,20231218,1.297297297297297,0.9233983286908078,0.9211920529801325,0.87658989343417,0.8376168224299065,0.704225352112676,0.6937888198757762,0.6475374732334045,259,348
13,20231219,1.1576923076923076,1.0266378689704823,0.9264877479579932,0.8821081830790569,0.8055388320288983,0.765810276679842,0.7088791848617175,0.64733359283768,292,399
14,20231220,1.132038834951456,0.9406903257170638,0.8844566712517195,0.8006993006993006,0.792677127912506,0.7702909647779479,0.7351225204200698,0.6694915254237286,215,273
15,20231221,1.2531500572737686,1.0818273092369477,0.8675298804780878,0.7987500000000001,0.7645429362880887,0.6458569807037458,0.6271820448877805,0.6076352067868505,291,401
16,20231222,1.0328200972447328,0.926690758905524,0.9041614123581336,0.8569292123629113,0.6275586620069895,0.5792850595783685,0.5777166437414032,0.5204081632653059,214,306
17,20231225,1.1213282247765006,1.1051282051282052,0.9334898278560253,0.7672456575682383,0.7368873602751502,0.7102713178294571,0.5964788732394368,0.5746352413019078,200,269
18,20231226,1.3302373581011353,1.2784810126582276,0.9976143141153084,0.8683945646703572,0.7625806451612904,0.7029390332766576,0.677105080027836,0.6218598501542527,193,256
19,20231227,1.2391857506361323,1.1255230125523012,0.7984126984126985,0.6554726368159203,0.6146841206602163,0.5806878306878307,0.5722506393861893,0.5226153157187641,217,278
20,20231228,0.9459459459459458,0.8037475345167651,0.7089330024813898,0.6893576222435285,0.6820809248554913,0.6614447345517842,0.6459874786568014,0.6330876330876332,219,298
21,20231229,1.0410742496050553,0.8356643356643358,0.7839805825242716,0.7068571428571429,0.6325934579439252,0.6320907617504052,0.6226032032483648,0.5944257568476694,281,388
