,date,style,field
0,20230207,5.236380088898912,6.7027520948427854
1,20230208,6.101879722291104,6.613382677054717
2,20230209,5.804976819368878,7.119438526262169
3,20230210,5.939605654317325,7.4473071402884266
4,20230213,6.016629821203481,7.196402774386744
5,20230214,5.582646430967626,7.613250496171985
6,20230215,5.911507016461448,7.530469597961481
7,20230216,5.79332460141356,7.850281599830548
8,20230217,5.75698237371809,7.30465411880597
9,20230220,5.380799930503044,7.070496599149861
10,20230221,6.829984434977847,8.902080239716664
11,20230222,6.140364927715689,7.332943530636343
12,20230223,5.443236410826718,7.2067653690828495
13,20230224,6.24454105969301,7.071719336645269
14,20230227,5.588897763484411,7.552641876958087
15,20230228,5.871529985198791,7.871118444556505
16,20230301,5.461672354148838,7.415129073915427
17,20230302,5.811650165468574,7.96612899652137
18,20230303,4.972384357086056,6.764647505632906
19,20230306,5.840343458079949,8.271518120570514
20,20230307,6.154398185763405,7.925260844472081
21,20230308,6.191864100991331,7.512666526027106
22,20230309,6.176744240945992,6.814803069533737
23,20230310,6.000078239192048,8.132599821180769
24,20230313,5.384118710320613,7.0445549640772605
25,20230314,4.520521627735114,7.6289047143583355
26,20230315,5.80582238644623,7.908022751138988
27,20230316,5.698134215426229,7.800375718491381
28,20230317,4.150617437842588,7.146596271371929
29,20230320,5.540874584591696,7.819082011959726
30,20230321,5.541761519145308,5.369118003099841
31,20230322,5.688137254132322,6.209289203998338
32,20230323,5.336226068710075,6.589121204479078
33,20230324,4.621028791932125,8.084131474647503
34,20230327,6.240816287032899,7.666397559187279
35,20230328,6.068437432512666,6.732355426910593
36,20230329,5.407979648813423,7.648791878896871
37,20230330,5.483716242512041,7.879294520234782
38,20230331,5.150680705141704,5.208117750207214
39,20230403,5.6883731095214385,8.077117656805068
40,20230404,7.036799850703715,7.66605802431385
41,20230406,6.74259081186155,7.475255667275633
42,20230407,7.385174671346383,7.688112705596748
43,20230410,6.163506408348836,8.084282145274921
44,20230411,6.488284019692632,8.240698580049667
45,20230412,6.3847185709213905,8.932731672999353
46,20230413,6.0723090930854635,6.430427905051127
47,20230414,5.963699732116895,8.485752760022086
48,20230417,6.447073811558966,5.000104891570567
49,20230418,6.827268148225176,5.559586720136
50,20230419,6.367595330156462,7.410690466855931
51,20230420,5.690278162851308,7.437485324655415
52,20230421,6.173519847335322,7.767625600756925
53,20230424,6.360086579077718,7.508186943753553
54,20230425,6.169616104591567,7.599793375182187
55,20230426,6.768913939994092,8.251469274689393
56,20230427,5.932797786974772,5.498119039487295
57,20230428,6.392479806637094,5.603221385112493
58,20230504,6.500652288591208,7.879510740767567
59,20230505,6.865592589996048,5.9649367643843245
60,20230508,6.548431946568627,7.983732688742885
61,20230509,5.718993202862478,5.527336965023336
62,20230510,5.293783942506243,5.340911068967885
63,20230511,5.308810047831894,4.5661081960159695
64,20230512,5.427381480322031,4.896317785840476
65,20230515,5.294815547371742,4.624804861719463
66,20230516,4.698529954391154,7.175638719912363
67,20230517,5.387524825455135,7.0393196541694785
68,20230518,4.424975935835653,4.533053175828683
69,20230519,5.397376698392786,7.813313162838176
70,20230522,5.882032606419994,7.684063012507253
71,20230523,5.763557297668231,7.289928517782436
72,20230524,6.713630220790114,7.050629499521527
73,20230525,5.480153136109835,7.7479405324501665
74,20230526,4.922521761481962,7.244614826845713
75,20230529,4.97933408929715,7.4846784887457165
76,20230530,4.984440067427542,7.7478354341075555
77,20230531,5.54720082111686,7.764762515060581
78,20230601,5.068522044118275,6.974861128495323
79,20230602,5.2172621318249295,6.926217923317086
80,20230605,4.854076576385334,4.471801027648093
81,20230606,4.593903348403813,6.540136779356091
82,20230607,5.460023435167847,7.71770956650869
83,20230608,4.91725712657337,4.453437696147411
84,20230609,5.647376674299138,8.466945240205144
85,20230612,4.381508368240854,4.695192269682685
86,20230613,4.559285333399797,5.982058845250997
87,20230614,4.225074435008298,6.570402098275773
88,20230615,4.480514001955296,5.0040221407145165
89,20230616,4.690095248152927,7.596846547554519
90,20230619,4.80487184375039,6.360996539017652
91,20230620,4.835926498684554,8.145054251134285
92,20230621,4.72599670701739,6.9521989637843395
93,20230626,4.308633633272584,7.260423997845123
94,20230627,4.120354988184097,6.216144599915101
95,20230628,4.479974827284789,7.134425530920218
96,20230629,4.1311871851711315,7.150669675713537
97,20230630,4.734175651655171,6.278507954256139
98,20230703,4.75885912648346,7.00254784946217
99,20230704,4.981701699164626,6.764058720560292
100,20230705,5.543737730029322,5.234537028639661
101,20230706,6.212719519015546,5.708040189514221
102,20230707,6.07720909632344,7.342142305474901
103,20230710,5.262736111346719,7.531458346575358
104,20230711,4.950305825986622,7.978838889342447
105,20230712,5.067110907555372,5.974342485998861
106,20230713,5.334171908557313,6.494668672954058
107,20230714,5.836883234909223,6.212852011101901
108,20230717,5.3062631942497545,7.3177198152287435
109,20230718,5.402966931659036,4.386713497310249
110,20230719,5.011462005797583,4.6349472373328
111,20230720,5.830155619622078,6.487255254198885
112,20230721,5.926511281889839,9.108544818026248
113,20230724,5.150761864790448,7.166720062100975
114,20230725,4.811422762989484,7.544208271711527
115,20230726,5.482405951425893,6.541586862168351
116,20230727,6.168709689687379,4.855665883074571
117,20230728,6.267096561484948,7.683515057069805
118,20230731,5.61603856232389,4.3034184474477994
119,20230801,6.1386805466285,4.67936063217135
120,20230802,4.46312716406945,6.96294968304615
121,20230803,4.849625978328348,5.049818834710891
122,20230804,5.263393914096244,5.28712689603884
123,20230807,5.626666100809028,5.6309951638731235
124,20230808,4.313856637664279,5.272557097068865
125,20230809,4.220058128199056,6.186318667466351
126,20230810,4.482623688575717,4.143419608210225
127,20230811,5.318911643043937,5.32158730493964
128,20230814,4.676418119904405,4.453963780854289
129,20230815,4.87284042716286,6.105728644219762
130,20230816,4.503369517491852,4.310720442042204
131,20230817,4.66359915934939,6.523923497857981
132,20230818,4.822307160104547,7.677065206843565
133,20230821,6.084055298927723,7.400738121635633
134,20230822,5.989008179665854,5.580882002876249
135,20230823,6.4980690511424415,9.743335209056989
136,20230824,5.443294836040052,7.484797589352927
137,20230825,5.661707096463235,8.48836312661194
138,20230828,6.031551353997217,8.70736809411077
139,20230829,5.397965458681836,7.07251023067593
140,20230830,6.675005208496449,5.7557899570168125
141,20230831,7.157142451531505,6.160306183793538
142,20230901,5.600218208981613,7.752068530616867
143,20230904,6.566332475110211,8.963527477174315
144,20230905,6.953990884512866,8.727293620144561
145,20230906,7.706168989780065,8.718769940970326
146,20230907,7.388626773379121,9.006154611203186
147,20230908,6.060341327765153,8.99340822916718
148,20230911,5.909981935433141,7.238447739076649
149,20230912,5.217655134355899,5.140432090585031
150,20230913,6.400114379806972,8.016687031987466
151,20230914,6.207078415738327,6.789377805578129
152,20230915,5.504450964986754,6.530356564714748
153,20230918,5.229222868941667,6.756009514371033
154,20230919,5.1948332689611645,7.323897049072922
155,20230920,5.1826658383082265,8.786125252778934
156,20230921,5.027465047008363,8.163270602490092
157,20230922,5.574779934754342,7.14305636742267
158,20230925,5.391857562360525,7.658214225807216
159,20230926,5.469155598684575,7.961943469697877
160,20230927,5.065088849929245,6.334478009989381
161,20230928,6.225801025778239,5.675205392549939
162,20231009,5.622196505812764,8.249866729517027
163,20231010,5.622430561663063,8.24269952542133
164,20231011,5.379579391200885,7.010750746837258
165,20231012,5.98336347137165,7.629272388420036
166,20231013,5.183676869754639,5.444263774184857
167,20231016,5.483494060419849,7.58579083123788
168,20231017,5.414178848925528,5.6275444729130175
169,20231018,5.053402046963218,7.159318097502483
170,20231019,5.379619753076428,7.950711247568837
171,20231020,5.414969414557639,8.01179332318487
