date	Labels	Values
20180129	上涨数	0.2167789344764237
20180130	上涨数	0.4470300061236987
20180131	上涨数	0.1640098099325567
20180201	上涨数	0.0905463474524248
20180202	上涨数	0.3733665214685749
20180205	上涨数	0.3332280480101074
20180206	上涨数	0.0341772151898734
20180207	上涨数	0.670266836086404
20180208	上涨数	0.8167356029271396
20180209	上涨数	0.0771673547157827
20180212	上涨数	0.9387045813586098
20180213	上涨数	0.4864438839848676
20180214	上涨数	0.559322033898305
20180222	上涨数	0.9346262120738192
20180223	上涨数	0.5729881472239551
20180226	上涨数	0.9596523898199876
20180227	上涨数	0.4784896316929743
20180228	上涨数	0.4383137011779293
20180301	上涨数	0.8203537077257214
20180302	上涨数	0.2983920841063698
20180305	上涨数	0.6016109045848823
20180306	上涨数	0.7745432022297926
20180307	上涨数	0.2734302505412929
20180308	上涨数	0.7173374613003096
20180309	上涨数	0.8443688118811881
20180312	上涨数	0.8550231839258114
20180313	上涨数	0.2906220984215413
20180314	上涨数	0.2136222910216718
20180315	上涨数	0.2944084028421377
20180316	上涨数	0.4083333333333333
20180319	上涨数	0.5738513721862473
20180320	上涨数	0.5047854276011114
20180321	上涨数	0.3092815294480419
20180322	上涨数	0.4773497688751926
20180323	上涨数	0.06
20180326	上涨数	0.7508458935712089
20180327	上涨数	0.946070878274268
20180328	上涨数	0.3322023442319556
20180329	上涨数	0.7600246761258482
20180330	上涨数	0.771243842364532
20180402	上涨数	0.4920049200492005
20180403	上涨数	0.2674454349830925
20180404	上涨数	0.335995085995086
20180409	上涨数	0.4878498923408182
20180410	上涨数	0.5638820638820639
20180411	上涨数	0.6378992628992629
20180412	上涨数	0.2987132352941176
20180413	上涨数	0.381010719754977
20180416	上涨数	0.305334150827713
20180417	上涨数	0.1263803680981595
20180418	上涨数	0.7213517665130569
20180419	上涨数	0.5205773955773956
20180420	上涨数	0.1124769514443761
20180423	上涨数	0.389690088984351
20180424	上涨数	0.9404907975460124
20180425	上涨数	0.5252679938744257
20180426	上涨数	0.1188361408882082
20180427	上涨数	0.59339651482727
20180502	上涨数	0.3997551270278543
20180503	上涨数	0.7135448444173277
20180504	上涨数	0.3863289594140983
20180507	上涨数	0.9299207800121876
20180508	上涨数	0.6582317073170731
20180509	上涨数	0.4390243902439024
20180510	上涨数	0.5984779299847793
20180511	上涨数	0.2100303951367781
20180514	上涨数	0.3110773899848255
20180515	上涨数	0.7632776934749621
20180516	上涨数	0.3065980629539951
20180517	上涨数	0.3884522370012092
20180518	上涨数	0.6414752116082225
20180521	上涨数	0.8420096852300242
20180522	上涨数	0.5584140435835351
20180523	上涨数	0.2011494252873563
20180524	上涨数	0.3815869170199878
20180525	上涨数	0.2910741301059001
20180528	上涨数	0.2998188405797101
20180529	上涨数	0.3041112454655381
20180530	上涨数	0.0862590799031477
20180531	上涨数	0.8839745531657074
20180601	上涨数	0.2768019382192611
20180604	上涨数	0.4576783555018138
20180605	上涨数	0.8722440350347327
20180606	上涨数	0.4773276904474002
20180607	上涨数	0.2383403997577226
20180608	上涨数	0.2293939393939394
20180611	上涨数	0.3030852994555354
20180612	上涨数	0.690260133091349
20180613	上涨数	0.1296856106408706
20180614	上涨数	0.3915279878971255
20180615	上涨数	0.1484848484848485
20180619	上涨数	0.0325822168087697
20180620	上涨数	0.7396593673965937
20180621	上涨数	0.1417706114998478
20180622	上涨数	0.8480704952901853
20180625	上涨数	0.3705275924802911
20180626	上涨数	0.7341005451241672
20180627	上涨数	0.3085748792270531
20180628	上涨数	0.2134458848356949
20180629	上涨数	0.9684115523465704
20180702	上涨数	0.1814092953523238
20180703	上涨数	0.8185351270553064
20180704	上涨数	0.137219730941704
20180705	上涨数	0.0901761719916393
20180706	上涨数	0.6207823230815168
20180709	上涨数	0.930911256700417
20180710	上涨数	0.6885782272456871
20180711	上涨数	0.106547619047619
20180712	上涨数	0.96605122096486
20180713	上涨数	0.5054977711738484
20180716	上涨数	0.4386484884410195
20180717	上涨数	0.4931872037914692
20180718	上涨数	0.3154779520568215
20180719	上涨数	0.212363206152026
20180720	上涨数	0.8132939438700147
20180723	上涨数	0.7096869462492617
20180724	上涨数	0.8771048744460856
20180725	上涨数	0.4297520661157025
20180726	上涨数	0.4446739451165535
20180727	上涨数	0.3071702567128946
20180730	上涨数	0.2126216455322913
20180731	上涨数	0.5622974963181149
20180801	上涨数	0.1359223300970873
20180802	上涨数	0.1258453396059982
20180803	上涨数	0.2361233480176211
20180806	上涨数	0.1663732394366197
20180807	上涨数	0.9566363902724876
20180808	上涨数	0.1753151568454998
20180809	上涨数	0.93641957222385
20180810	上涨数	0.6448871960152358
20180813	上涨数	0.4708467623791386
20180814	上涨数	0.4222547584187408
20180815	上涨数	0.0845771144278607
20180816	上涨数	0.2174422007609013
20180817	上涨数	0.1148786904413914
20180820	上涨数	0.6247079439252337
20180821	上涨数	0.7988908347927612
20180822	上涨数	0.1809690601284296
20180823	上涨数	0.673481308411215
20180824	上涨数	0.3623103850641773
20180827	上涨数	0.9513261439813464
20180828	上涨数	0.4646288209606987
20180829	上涨数	0.2660844250363901
20180830	上涨数	0.1233633983124818
20180831	上涨数	0.2093631869729572
20180903	上涨数	0.4161580935774484
20180904	上涨数	0.8396281231841952
20180905	上涨数	0.137670636073192
20180906	上涨数	0.3221963974433469
20180907	上涨数	0.5516138412329166
20180910	上涨数	0.1212914485165794
20180911	上涨数	0.5809357744841616
20180912	上涨数	0.516560139453806
20180913	上涨数	0.7776167004928964
20180914	上涨数	0.2263768115942029
20180917	上涨数	0.1583067555813279
20180918	上涨数	0.9015348971908486
20180919	上涨数	0.8035921205098494
20180920	上涨数	0.3326577880718008
20180921	上涨数	0.8568950563746748
20180925	上涨数	0.3125541125541125
20180926	上涨数	0.5227797001153403
20180927	上涨数	0.1392332084174113
20180928	上涨数	0.7959066013260305
20181008	上涨数	0.0562770562770562
20181009	上涨数	0.5887769784172662
20181010	上涨数	0.5580459770114943
20181011	上涨数	0.0207015526164462
20181012	上涨数	0.3480758184951177
20181015	上涨数	0.2201149425287356
20181016	上涨数	0.1589670014347202
20181017	上涨数	0.7344422139374821
20181018	上涨数	0.0780935974734424
20181019	上涨数	0.889367816091954
20181022	上涨数	0.99568345323741
20181023	上涨数	0.1846950517836594
20181024	上涨数	0.5175489067894131
20181025	上涨数	0.2952188940092166
20181026	上涨数	0.627230857800806
20181029	上涨数	0.1818442976156277
20181030	上涨数	0.7902439024390244
20181031	上涨数	0.8614942528735632
20181101	上涨数	0.5519816197587594
20181102	上涨数	0.9732988802756244
20181105	上涨数	0.6029201259662181
20181106	上涨数	0.3422107674684994
20181107	上涨数	0.3352402745995423
20181108	上涨数	0.3735352957987997
20181109	上涨数	0.3816728518412789
20181112	上涨数	0.9657827202737382
20181113	上涨数	0.8646337988030778
20181114	上涨数	0.3923076923076923
20181115	上涨数	0.8645803698435277
20181116	上涨数	0.6302186878727635
20181119	上涨数	0.5089463220675944
20181120	上涨数	0.0979835274069866
20181121	上涨数	0.6639204545454546
20181122	上涨数	0.4578723404255319
20181123	上涨数	0.0433796427558831
20181126	上涨数	0.4273964832671582
20181127	上涨数	0.6736603345619506
20181128	上涨数	0.7795698924731183
20181129	上涨数	0.0919637804187889
20181130	上涨数	0.658750353406842
20181203	上涨数	0.985871715173778
20181204	上涨数	0.6930245693306976
20181205	上涨数	0.249929398475007
20181206	上涨数	0.126764539808018
20181207	上涨数	0.5207334273624824
20181210	上涨数	0.2149901380670611
20181211	上涨数	0.7252468265162201
20181212	上涨数	0.4588500563697858
20181213	上涨数	0.7418991265145112
20181214	上涨数	0.070160608622147
20181217	上涨数	0.471815107102593
20181218	上涨数	0.2715736040609137
20181219	上涨数	0.1469675599435825
20181220	上涨数	0.6222535211267606
20181221	上涨数	0.2648633417864187
20181224	上涨数	0.7275288813750352
20181225	上涨数	0.2234762979683973
20181226	上涨数	0.3847022297488005
20181227	上涨数	0.148461755574372
20181228	上涨数	0.5061971830985915
20190102	上涨数	0.4293753517163759
20190103	上涨数	0.3859353023909986
20190104	上涨数	0.9485232067510548
20190107	上涨数	0.9029262802476083
20190108	上涨数	0.3812201293224627
20190109	上涨数	0.4928310373910599
20190110	上涨数	0.357965720708064
20190111	上涨数	0.7339887640449438
20190114	上涨数	0.2856339612032612
20190115	上涨数	0.7967388248524037
20190116	上涨数	0.3672379881989323
20190117	上涨数	0.2001684446939921
20190118	上涨数	0.6912921348314607
20190121	上涨数	0.6081460674157303
20190122	上涨数	0.1847795563044088
20190123	上涨数	0.4789325842696629
20190124	上涨数	0.5857423519506034
20190125	上涨数	0.277855739545327
20190128	上涨数	0.297054698457223
20190129	上涨数	0.1767180925666199
20190130	上涨数	0.1868870832165872
20190131	上涨数	0.2393497757847533
20190201	上涨数	0.9532081815634632
20190211	上涨数	0.9725567068048164
20190212	上涨数	0.8571828619434332
20190213	上涨数	0.908174692049272
20190214	上涨数	0.5169325496781416
20190215	上涨数	0.3582423733557235
20190218	上涨数	0.9946808510638298
20190219	上涨数	0.4353303471444569
20190220	上涨数	0.4754695822820297
20190221	上涨数	0.2751959686450168
20190222	上涨数	0.9051482932288752
20190225	上涨数	0.996358543417367
20190226	上涨数	0.4218487394957983
20190227	上涨数	0.3886242644998599
20190228	上涨数	0.6240896358543417
20190301	上涨数	0.5567991046446559
20190304	上涨数	0.8628987129266927
20190305	上涨数	0.8863381858902576
20190306	上涨数	0.7998878923766816
20190307	上涨数	0.6968085106382979
20190308	上涨数	0.1043356643356643
20190311	上涨数	0.9558165548098434
20190312	上涨数	0.7766582703610412
20190313	上涨数	0.2212265471856623
20190314	上涨数	0.1494542401343409
20190315	上涨数	0.8095104895104895
20190318	上涨数	0.8947073648837861
20190319	上涨数	0.477043673012318
20190320	上涨数	0.4113038612199216
20190321	上涨数	0.6739434648754548
20190322	上涨数	0.4939792775133016
20190325	上涨数	0.2959326788218794
20190326	上涨数	0.1435782389231632
20190327	上涨数	0.5703454085930918
20190328	上涨数	0.2318271119842829
20190329	上涨数	0.9228827818283792
20190401	上涨数	0.9815126050420168
20190402	上涨数	0.5060139860139861
20190403	上涨数	0.6997476871320437
20190404	上涨数	0.4631549453628467
20190408	上涨数	0.3557046979865771
20190409	上涨数	0.5802572706935123
20190410	上涨数	0.4084939927354009
20190411	上涨数	0.1826573426573426
20190412	上涨数	0.4807262569832402
20190415	上涨数	0.2650837988826816
20190416	上涨数	0.865046102263202
20190417	上涨数	0.5877266387726638
20190418	上涨数	0.2881025355252159
20190419	上涨数	0.6314468915528296
20190422	上涨数	0.2403792526491913
20190423	上涨数	0.205020920502092
20190424	上涨数	0.7064399219403401
20190425	上涨数	0.066219614417435
20190426	上涨数	0.2778864970645792
20190429	上涨数	0.1588680302605772
20190430	上涨数	0.7618913594145792
20190506	上涨数	0.0307606263982102
20190507	上涨数	0.7856344326439352
20190508	上涨数	0.4217439910564561
20190509	上涨数	0.287109375
20190510	上涨数	0.982426778242678
20190513	上涨数	0.3252372975991066
20190514	上涨数	0.2416969020373988
20190515	上涨数	0.9467075892857144
20190516	上涨数	0.6573738500139392
20190517	上涨数	0.0710306406685236
20190520	上涨数	0.4379704488430443
20190521	上涨数	0.8758006126427179
20190522	上涨数	0.2794322293348177
20190523	上涨数	0.1085141903171953
20190524	上涨数	0.3559510567296997
20190527	上涨数	0.9497082522923034
20190528	上涨数	0.4088382434685936
20190529	上涨数	0.5215217995001389
20190530	上涨数	0.2970269519310919
20190531	上涨数	0.4255555555555556
20190603	上涨数	0.2244160177975528
20190604	上涨数	0.1868223519599666
20190605	上涨数	0.4956908534890186
20190606	上涨数	0.115
20190610	上涨数	0.7544493882091212
20190611	上涨数	0.9844314706700028
20190612	上涨数	0.2811457174638487
20190613	上涨数	0.6454393770856507
20190614	上涨数	0.1081156197887715
20190617	上涨数	0.5031971087016959
20190618	上涨数	0.4162267296471242
20190619	上涨数	0.8486111111111111
20190620	上涨数	0.8511937812326485
20190621	上涨数	0.8670552317513184
20190624	上涨数	0.3849140321686078
20190625	上涨数	0.2210205213533
20190626	上涨数	0.4500831946755407
20190627	上涨数	0.5970066518847007
20190628	上涨数	0.17713811237199
20190701	上涨数	0.966214345056771
20190702	上涨数	0.4332779623477298
20190703	上涨数	0.2151758515646635
20190704	上涨数	0.368070953436807
20190705	上涨数	0.5593689454746748
20190708	上涨数	0.0606648199445983
20190709	上涨数	0.5690515806988353
20190710	上涨数	0.2547117516629711
20190711	上涨数	0.4534109816971713
20190712	上涨数	0.570360110803324
20190715	上涨数	0.7120708748615725
20190716	上涨数	0.5207526286662977
20190717	上涨数	0.3858289510102408
20190718	上涨数	0.1131710016602103
20190719	上涨数	0.6502490315439956
20190722	上涨数	0.0964020873386432
20190723	上涨数	0.810491623180445
20190724	上涨数	0.8386919483374553
20190725	上涨数	0.4994508511806699
20190726	上涨数	0.4460609387867142
20190729	上涨数	0.38079561042524
20190730	上涨数	0.6310013717421125
20190731	上涨数	0.254729914998629
20190801	上涨数	0.3112146970112421
20190802	上涨数	0.1482597972047136
20190805	上涨数	0.1846575342465753
20190806	上涨数	0.1180175246440306
20190807	上涨数	0.3503149821966584
20190808	上涨数	0.6507806080525883
20190809	上涨数	0.1732822337804544
20190812	上涨数	0.8752052545155994
20190813	上涨数	0.2617027101012866
20190814	上涨数	0.6521500958641469
20190815	上涨数	0.462800875273523
20190816	上涨数	0.5564979480164158
20190819	上涨数	0.9592004381161008
20190820	上涨数	0.4386637458926615
20190821	上涨数	0.4277108433734939
20190822	上涨数	0.5449069003285871
20190823	上涨数	0.3321467688937568
20190826	上涨数	0.252599890530925
20190827	上涨数	0.8952120383036936
20190828	上涨数	0.4425915800984144
20190829	上涨数	0.3666940114848236
20190830	上涨数	0.1819175088773559
20190902	上涨数	0.929000546149645
20190903	上涨数	0.5743925743925744
20190904	上涨数	0.675587110868378
20190905	上涨数	0.7207969432314411
20190906	上涨数	0.5472161572052402
20190909	上涨数	0.9118930714675396
20190910	上涨数	0.4818454818454818
20190911	上涨数	0.2825552825552825
20190912	上涨数	0.6751296751296751
20190916	上涨数	0.5058695058695059
20190917	上涨数	0.1044735406437534
20190918	上涨数	0.4652114597544338
20190919	上涨数	0.7466557466557466
20190920	上涨数	0.4312602291325695
