,date,1,2,3,4,5,6,7,8,>9,>7,短期情绪,情绪阈值,情绪加权,参考仓位,短期波动,短期强度,长期趋势,趋势强度,短期研判
20,20200306,5.549320896201818,4.509320091113504,1.9041643407390865,1.6270874758921765,1.5992656277986743,1.283491066790143,1.2663230240549828,1.2598665925514174,2047,218,23.43088318322955,13.26694723747989,4.382904542086867,0.9748237663645518,8.411426666180507,0.9979859013091642,1.3266021670972588,0.8126888217522659,>90%
21,20200309,4.615194750466559,4.185904480275997,1.9035431772400453,1.337501293249974,1.3028080875742565,1.207920792079208,1.1618185017457097,1.1574739767872255,1167,332,18.83841434319779,13.413085681016517,5.69593002494152,0.9869083585095669,9.362743031734883,0.998992950654582,1.9416710837915074,0.8811681772406847,>90%
22,20200310,4.170833561343986,3.757418307778019,1.456064174271416,1.4210526315789471,1.375837285258244,1.3431821932433206,1.277972272790926,1.2240702858879398,1566,212,16.95760685278142,13.55922412455314,5.938670486247834,0.9919436052366566,8.243322417716001,0.9969788519637462,2.1728195075712295,0.904330312185297,>90%
23,20200311,3.2303162947441724,2.908886259184853,1.6384364820846904,1.5629336673185628,1.5389293162031703,1.4304382699916185,1.313602437592598,1.1221374045801524,1226,363,18.76786518256251,13.577998922803406,5.330854389337214,0.9838872104733132,5.665046133544253,0.9788519637462235,2.1564022229978743,0.9013091641490433,>90%
24,20200312,3.230642043142044,2.655070984782544,1.91473627724212,1.4225193898285684,1.4059405940594063,1.3381018639301967,1.2424266217121218,1.1514195583596214,1111,434,16.541554453089827,13.596773721053673,5.055894344498242,0.9818731117824774,4.794715857404189,0.9667673716012084,2.3386211501814103,0.9164149043303121,>90%
25,20200313,2.608636782890866,2.142098943979044,1.6072068786363838,1.5681063122923593,1.4223507144761918,1.1147336708780895,1.0314752354694696,1.016473780386511,986,602,15.723213979189383,13.75749832638856,4.5001610283875335,0.9758308157099698,4.236534782686,0.9587109768378651,2.478013740200727,0.9305135951661632,>90%
26,20200316,1.9521824423737124,1.7044518849206352,1.4653541097309182,1.422503813905084,1.3576235513520714,1.2597402597402598,1.1207808581183851,0.9965635738831612,505,1404,15.88495569400058,13.918222931723449,3.684282049916563,0.9677744209466264,3.0250300220441395,0.9244712990936556,2.535479797960047,0.9355488418932527,>90%
27,20200317,1.7435942074523534,1.6374646765271763,1.4146788813076596,1.1496815286624202,1.0882502327943793,1.080520438857658,1.064473995398938,0.8914672156294323,427,1673,14.02600114972013,13.97211204072179,3.0943598498677662,0.9446122860020141,2.224335552911687,0.8690835850956697,2.424193518915417,0.9244712990936556,>90%
28,20200318,1.6785675907141533,1.5484915103425778,1.4034814450456357,1.3229553107699332,1.2012779552715656,1.0645370940471652,1.036775711978572,0.9929418619950754,350,1883,12.963972648751811,13.918222931723449,2.1289053191734326,0.8902316213494461,1.250025488554157,0.7744209466263847,1.859321737076041,0.8721047331319235,58-90%
29,20200319,1.5055544673587598,1.3798070586571254,1.3672321737192743,1.3259493670886076,1.1921392455029038,1.18917391479861,0.8892700029936622,0.8175182481751824,334,2073,13.9433138075655,13.930768369644474,1.0096612081981065,0.7744209466263847,-0.011720015578037125,0.6193353474320242,1.2270700270761965,0.7995971802618328,58-90%
30,20200320,1.4078620158966997,1.331505531505531,1.130695006618197,1.10410094637224,1.0591669537919683,0.9073790228108656,0.8261494252873565,0.7682768256634738,352,1988,13.314145247044388,13.918222931723449,0.3147615405924691,0.7009063444108761,-0.23783046562737145,0.5891238670694864,0.6574904027274009,0.7482376636455186,58-90%
31,20200323,1.998244394645704,1.375697825228849,0.994812966277748,0.9169329073482428,0.9166674405574492,0.6924398625429553,0.6847395789528636,0.61978239046663,236,2515,12.99664928209799,13.75749832638856,-0.04861700041175266,0.6515609264853978,-0.18387656564589738,0.5981873111782477,0.21336464360756255,0.702920443101712,58-90%
32,20200324,1.8382022839210217,1.222225478130067,0.8491803278688526,0.8460144537391125,0.7997458670648956,0.7211715754262871,0.5933044370936467,0.5610328638497655,299,2142,12.537656861127257,13.596773721053673,-0.39756328614601705,0.6002014098690835,-0.3581194945172822,0.5669687814702921,-0.05515608956397447,0.6747230614300102,58-90%
33,20200325,1.913702451503426,1.7087800264425814,1.038468430798638,0.950905738013398,0.8918988823697573,0.8782051282051282,0.8559073378861455,0.644033958391641,389,1779,11.677838425059782,13.577998922803406,-0.6622951668498431,0.5599194360523665,-0.7016645280117522,0.5226586102719033,-0.27839184337649436,0.648539778449144,42-58%
34,20200326,1.5605641043616436,1.546692300419175,1.17375201766634,0.9648020190643742,0.8506175685019726,0.784944182363291,0.6122448979591837,0.5765558056786,308,1940,11.221752148492827,13.55922412455314,-0.9882345219600462,0.5105740181268883,-1.2474755822489703,0.4380664652567976,-0.5179489537120604,0.6112789526686808,42-58%
35,20200327,1.3008303601766902,1.2514940402121946,1.2494388715733935,0.9074243388205154,0.8742703253511899,0.5996015936254979,0.5862988829402938,0.5692335215075135,503,1156,9.902405346546855,13.436684685798763,-1.3712636041145614,0.43504531722054385,-1.813492177600407,0.3534743202416919,-0.7366041750612647,0.5619335347432024,42-58%
36,20200330,1.3585406907180957,1.0772157521679513,1.0452884529515076,0.9362237226975754,0.9074435119679172,0.6265709156193895,0.61328125,0.58843537414966,275,2089,12.5986937638935,13.314145247044388,-1.89554079437882,0.3434038267875126,-2.6834199284134703,0.2376636455186304,-1.0126222163459075,0.5025176233635449,10-42%
37,20200331,1.0790117898646558,1.045457313154138,1.0216759257995385,0.8500864649443904,0.6479586862045912,0.5816206206818242,0.571917808219178,0.5468451242829826,274,2280,10.868751200962617,13.290546242262138,-1.8562586885860124,0.3494461228600202,-2.128565723687051,0.30715005035246723,-1.1532966589868232,0.4692849949647533,10-42%
38,20200401,0.9043145347416436,0.8802406993441341,0.7620851992191986,0.7160975693816185,0.7021337739780156,0.6666666666666667,0.5248226950354611,0.5231181558091353,198,2586,10.363326394259383,13.26694723747989,-2.0347683022395393,0.3202416918429003,-1.8495615049297005,0.34843907351460224,-1.4815841441684774,0.3967774420946626,10-42%
39,20200402,0.904412127796158,0.8292375498756241,0.7868525896414345,0.6663032752745703,0.6554481597585047,0.5872919042693332,0.5819397993311037,0.5440682389013927,158,2637,11.206387207466346,13.2566636964713,-2.2659075808010254,0.2910372608257804,-2.3293082333076147,0.2789526686807654,-1.7661095875771655,0.3474320241691843,10-42%
40,20200403,1.025610862770141,1.0142857142857138,0.7687074829931975,0.7662572517416317,0.5529728819268991,0.534219987909256,0.5240322473182755,0.5073687755337155,156,2665,9.749264970185274,13.24638015546271,-2.364606680340665,0.2809667673716012,-2.346434743504316,0.27593152064451154,-2.041906797533228,0.3101711983887211,10-42%
41,20200407,1.3423049404199312,1.3205128205128207,1.0212014134275615,0.7529040551595183,0.7446436743353995,0.6756557789918245,0.6661157024793389,0.5798610168571352,322,1613,10.402005950111985,13.12151471878035,-2.5811425609643504,0.25478348439073517,-2.566996115233244,0.2578046324269889,-2.5047817216288477,0.2608257804632427,10-42%
42,20200408,1.4042553191489362,1.230111585593891,0.7652711050102952,0.734006734006734,0.6689075630252099,0.629032258064516,0.6004554469991921,0.5881916702922909,254,1908,10.175803880284136,12.99664928209799,-2.7951398048028375,0.23867069486404835,-2.72103302663837,0.2336354481369587,-2.7797527131563164,0.23464249748237664,10-42%
43,20200409,1.3447537473233404,1.0083719030765042,0.684709142311509,0.6496970180194546,0.632952691680261,0.5805422647527911,0.5781171284634761,0.5634828045958982,301,1607,9.71523876892372,12.980310965424902,-2.8469587328250583,0.22960725075528698,-2.745040015843399,0.22960725075528698,-2.9502249982980677,0.22155085599194357,10-42%
44,20200410,1.3177777777777775,1.139865205063202,0.7026289682539684,0.6068376068376069,0.5840130505709626,0.5584403780901599,0.5271828665568368,0.5267846096746258,308,1642,8.752351251730568,12.963972648751811,-2.97784815693122,0.22155085599194357,-2.914445115182396,0.2104733131923464,-3.165178528459392,0.2004028197381672,10-42%
45,20200413,1.0728476821192054,0.9804520519471134,0.9171701581047736,0.8289085545722714,0.66231647634584,0.6446545339951153,0.5912162162162162,0.5887026388746279,373,1545,9.654742201670665,12.80644704074811,-3.3224799106257645,0.18630412890231618,-3.485299609715356,0.15105740181268879,-3.4142675955944144,0.1651560926485398,10-42%
46,20200414,1.3424036281179137,1.1183310219413856,0.916768180140273,0.862969004893964,0.8318592547654777,0.7800054985214342,0.7544378698224852,0.7455138662316476,635,658,8.65937542763009,12.648921432744404,-3.345117728548273,0.18126888217522663,-3.498157597934351,0.149043303121853,-3.516058349738951,0.14702920443101708,10-42%
47,20200415,1.2936349981224184,1.2178899082568804,1.011091646933512,0.937685953029056,0.8389057750759878,0.833605220228385,0.8040902127542646,0.7325227963525835,641,727,10.18242866279605,12.623807598318953,-3.5898921935119903,0.14803625377643503,-3.646544100286634,0.13997985901309162,-3.738342207436089,0.1178247734138973,10-42%
48,20200416,1.2292886947323054,1.187793427230047,1.0699120437475296,0.8914027149321266,0.8854489164086687,0.8809135399673735,0.8054372689214657,0.8007914831949166,754,489,9.680053191907689,12.5986937638935,-3.4639116935808794,0.17019133937562936,-3.2806672032192807,0.17623363544813697,-3.7212360402840927,0.11883182275931525,10-42%
